kecamatan;desa;populasi;persenatase perempuan;rata-rata usia;jumlah_kk;luas_km2;rata-rata anggota keluarga;kepadatan penduduk (jiwa/km2);;
WERU;GROGOL;3306;50.64;38.28;1240;2.11;2.67;1566.82;;
WERU;KARANGTENGAH;3652;49.37;37.12;1269;2.61;2.88;1399.23;;
WERU;KARANGWUNI;3366;50.21;38.38;1214;2.26;2.77;1489.38;;
WERU;KRAJAN;4625;50.14;37.66;1678;3.34;2.76;1384.73;;
WERU;JATINGARANG;5418;49.85;36.91;1891;3.21;2.87;1687.85;;
WERU;KARANGANYAR;5339;50.05;36.91;1814;3.05;2.94;1750.49;;
WERU;ALASOMBO;4337;50.15;36.98;1551;5.57;2.8;778.64;;
WERU;KARANGMOJO;5426;49.72;36.07;1872;3.7;2.9;1466.49;;
WERU;WERU;3800;49.66;37.93;1364;2.92;2.79;1301.37;;
WERU;KARAKAN;3877;50.27;38.34;1396;2.79;2.78;1389.61;;
WERU;TEGALSARI;4693;51.57;37.95;1681;3.38;2.79;1388.46;;
WERU;TAWANG;4159;49.7;37.77;1491;3.14;2.79;1324.52;;
WERU;NGRECO;5858;50.41;37.94;2149;4.75;2.73;1233.26;;
BULU;SANGGANG;2864;49.72;37.49;1007;6.74;2.84;424.93;;
BULU;KAMAL;2564;48.79;38.09;923;8.67;2.78;295.73;;
BULU;GENTAN;3126;48.21;37.73;1149;6.36;2.72;491.51;;
BULU;KEDUNGSONO;2938;49.12;38.81;1096;4.24;2.68;692.92;;
BULU;TIYARAN;3353;49.54;38.28;1225;3.71;2.74;903.77;;
BULU;KARANGASEM;2340;49.91;37.19;825;3.69;2.84;634.15;;
BULU;BULU;3289;49.83;37.71;1172;5.72;2.81;575.0;;
BULU;KUNDEN;3021;50.35;37.9;1077;3.15;2.81;959.05;;
BULU;PURON;2646;49.7;37.61;953;2.46;2.78;1075.61;;
BULU;MALANGAN;3826;49.35;37.0;1343;3.14;2.85;1218.47;;
BULU;LENGKING;2803;48.95;37.06;1005;3.12;2.79;898.4;;
BULU;NGASINAN;4291;48.75;37.58;1532;3.77;2.8;1138.2;;
TAWANGSARI;PUNDUNGREJO;3511;49.16;38.36;1296;4.38;2.71;801.6;;
TAWANGSARI;WATUBONANG;6357;49.25;36.56;2213;4.63;2.87;1373.0;;
TAWANGSARI;KEDUNGJAMBAL;4534;49.87;37.54;1659;4.74;2.73;956.54;;
TAWANGSARI;GRAJEGAN;4034;49.7;36.82;1418;3.12;2.84;1292.95;;
TAWANGSARI;LOROG;5848;49.95;36.24;2064;4.05;2.83;1443.95;;
TAWANGSARI;KATEGUHAN;5114;50.25;36.17;1778;2.69;2.88;1901.12;;
TAWANGSARI;DALANGAN;4624;49.87;35.44;1587;3.26;2.91;1418.4;;
TAWANGSARI;POJOK;4772;49.79;34.94;1598;2.55;2.99;1871.37;;
TAWANGSARI;TANGKISAN;4431;50.53;35.44;1470;3.11;3.01;1424.76;;
TAWANGSARI;PONOWAREN;5600;49.39;37.42;2007;3.16;2.79;1772.15;;
TAWANGSARI;MAJASTO;4215;50.27;36.5;1497;3.63;2.82;1161.16;;
TAWANGSARI;TAMBAKBOYO;3910;49.92;35.49;1358;4.39;2.88;890.66;;
SUKOHARJO;KENEP;5265;49.29;35.32;1782;2.81;2.95;1873.67;;
SUKOHARJO;BANMATI;5530;49.28;34.53;1842;2.37;3.0;2333.33;;
SUKOHARJO;MANDAN;5364;49.79;36.05;1852;3.16;2.9;1697.47;;
SUKOHARJO;BEGAJAH;5446;49.32;36.25;1884;3.15;2.89;1728.89;;
SUKOHARJO;GAYAM;10388;50.94;35.56;3530;2.02;2.94;5142.57;;
SUKOHARJO;JOHO;8078;50.09;35.02;2695;2.15;3.0;3757.21;;
SUKOHARJO;JETIS;9577;50.44;34.6;3116;1.91;3.07;5014.14;;
SUKOHARJO;COMBONGAN;4899;48.97;35.01;1680;3.24;2.92;1512.04;;
SUKOHARJO;KRIWEN;6053;50.37;35.11;2009;3.12;3.01;1940.06;;
SUKOHARJO;BULAKAN;8745;49.05;33.62;2818;3.0;3.1;2915.0;;
SUKOHARJO;DUKUH;7020;50.01;34.3;2298;3.92;3.05;1790.82;;
SUKOHARJO;SUKOHARJO;11187;50.26;35.42;3769;4.94;2.97;2264.57;;
SUKOHARJO;BULAKREJO;7210;49.86;34.36;2395;4.1;3.01;1758.54;;
SUKOHARJO;SONOREJO;5793;50.49;34.67;1939;4.42;2.99;1310.63;;
NGUTER;TANJUNGREJO;2883;48.94;37.35;999;5.54;2.89;520.4;;
NGUTER;JANGGLENGAN;2249;48.24;37.72;790;5.78;2.85;389.1;;
NGUTER;SERUT;3411;48.96;36.64;1146;4.89;2.98;697.55;;
NGUTER;JURON;2890;48.86;36.61;1004;3.18;2.88;908.81;;
NGUTER;CELEP;3061;49.17;36.98;1060;2.91;2.89;1051.89;;
NGUTER;PENGKOL;3448;50.58;36.64;1192;3.64;2.89;947.25;;
NGUTER;GUPIT;3938;50.03;36.73;1373;3.91;2.87;1007.16;;
NGUTER;PLESAN;3085;49.95;36.65;1089;4.3;2.83;717.44;;
NGUTER;KEDUNGWINONG;3617;49.82;35.63;1233;3.91;2.93;925.06;;
NGUTER;NGUTER;6188;49.55;36.87;2134;3.23;2.9;1915.79;;
NGUTER;BARAN;1905;49.24;37.51;677;2.5;2.81;762.0;;
NGUTER;DALEMAN;2547;50.02;36.55;905;2.66;2.81;957.52;;
NGUTER;LAWU;3537;49.84;36.61;1251;4.34;2.83;814.98;;
NGUTER;TANJUNG;3506;49.77;35.48;1185;2.39;2.96;1466.95;;
NGUTER;PONDOK;4527;49.37;35.05;1513;2.52;2.99;1796.43;;
NGUTER;KEPUH;5225;49.91;36.06;1840;3.94;2.84;1326.14;;
BENDOSARI;JOMBOR;9467;50.16;34.49;3135;2.35;3.02;4028.51;;
BENDOSARI;TORIYO;6201;48.8;34.51;2064;2.22;3.0;2793.24;;
BENDOSARI;MULUR;8055;50.4;35.42;2692;3.99;2.99;2018.8;;
BENDOSARI;JAGAN;2271;50.11;37.2;816;3.66;2.78;620.49;;
BENDOSARI;MANISHARJO;3211;48.86;35.87;1078;4.09;2.98;785.09;;
BENDOSARI;CABEYAN;2475;50.02;36.65;851;3.04;2.91;814.14;;
BENDOSARI;PUHGOGOR;2650;49.47;36.49;906;3.61;2.92;734.07;;
BENDOSARI;PALUHOMBO;2285;49.72;37.77;810;3.86;2.82;591.97;;
BENDOSARI;BENDOSARI;2279;50.59;38.64;806;4.1;2.83;555.85;;
BENDOSARI;MOJOREJO;2109;49.83;37.33;748;3.64;2.82;579.4;;
BENDOSARI;MERTAN;7514;49.84;35.82;2645;6.93;2.84;1084.27;;
BENDOSARI;SUGIHAN;4512;49.71;35.95;1539;3.8;2.93;1187.37;;
BENDOSARI;SIDOREJO;5445;50.51;34.38;1812;3.73;3.0;1459.79;;
BENDOSARI;GENTAN;6842;50.39;35.82;2290;3.75;2.99;1824.53;;
POLOKARTO;PRANAN;3613;49.65;34.22;1201;1.93;3.01;1872.02;;
POLOKARTO;KARANGWUNI;3520;50.54;34.65;1186;1.7;2.97;2070.59;;
POLOKARTO;BUGEL;3955;49.38;35.0;1344;1.53;2.94;2584.97;;
POLOKARTO;NGOMBAKAN;4281;49.71;35.01;1479;1.83;2.89;2339.34;;
POLOKARTO;BAKALAN;6174;50.39;35.11;2091;3.03;2.95;2037.62;;
POLOKARTO;GODOG;5211;50.12;34.28;1651;2.94;3.16;1772.45;;
POLOKARTO;KEMASAN;5342;49.78;34.9;1781;3.34;3.0;1599.4;;
POLOKARTO;KENOKOREJO;4904;50.14;36.47;1684;3.8;2.91;1290.53;;
POLOKARTO;TEPISARI;3143;49.6;36.27;1104;6.14;2.85;511.89;;
POLOKARTO;BULU;3622;51.41;36.63;1233;5.0;2.94;724.4;;
POLOKARTO;REJOSARI;4135;49.63;35.45;1342;6.09;3.08;678.98;;
POLOKARTO;POLOKARTO;8556;49.46;34.36;2806;8.21;3.05;1042.14;;
POLOKARTO;MRANGGEN;11338;49.39;33.67;3672;4.4;3.09;2576.82;;
POLOKARTO;WONOREJO;6660;49.65;33.66;2117;2.24;3.15;2973.21;;
POLOKARTO;JATISOBO;5288;50.08;35.14;1806;2.19;2.93;2414.61;;
POLOKARTO;KAYUAPAK;4257;50.48;34.8;1446;3.22;2.94;1322.05;;
POLOKARTO;GENENGSARI;5084;50.39;35.19;1709;4.31;2.97;1179.58;;
MOJOLABAN;LABAN;5458;49.62;35.01;1855;2.24;2.94;2436.61;;
MOJOLABAN;TEGALMADE;2216;49.05;36.2;780;1.83;2.84;1210.93;;
MOJOLABAN;WIRUN;7877;50.16;35.48;2724;2.67;2.89;2950.19;;
MOJOLABAN;BEKONANG;5978;50.8;35.83;2069;2.54;2.89;2353.54;;
MOJOLABAN;CANGKOL;6080;50.44;35.39;2107;2.08;2.89;2923.08;;
MOJOLABAN;KLUMPRIT;5527;50.44;34.92;1911;2.08;2.89;2657.21;;
MOJOLABAN;KRAGILAN;3678;51.47;35.32;1276;1.92;2.88;1915.62;;
MOJOLABAN;SAPEN;5130;50.97;35.08;1717;2.31;2.99;2220.78;;
MOJOLABAN;JOHO;7978;50.31;34.75;2713;3.42;2.94;2332.75;;
MOJOLABAN;DEMAKAN;5779;51.1;34.6;1993;2.35;2.9;2459.15;;
MOJOLABAN;DUKUH;4648;49.76;35.28;1579;1.83;2.94;2539.89;;
MOJOLABAN;PLUMBON;5646;50.25;34.62;1955;2.29;2.89;2465.5;;
MOJOLABAN;GADINGAN;6689;49.83;34.8;2303;2.02;2.9;3311.39;;
MOJOLABAN;PALUR;14873;49.01;33.75;5160;4.07;2.88;3654.3;;
MOJOLABAN;TRIYAGAN;5792;49.72;36.04;1984;1.68;2.92;3447.62;;
GROGOL;PANDEYAN;5479;49.11;35.01;1880;3.62;2.91;1513.54;;
GROGOL;TELUKAN;12235;49.57;35.03;4109;1.78;2.98;6873.6;;
GROGOL;PARANGJORO;5514;49.06;34.63;1862;5.58;2.96;988.17;;
GROGOL;PONDOK;8507;50.05;33.15;2735;3.52;3.11;2416.76;;
GROGOL;LANGENHARJO;8298;50.95;35.81;2793;2.99;2.97;2775.25;;
GROGOL;GEDANGAN;6554;50.08;34.74;2208;0.57;2.97;11498.25;;
GROGOL;MADEGONDO;8800;49.98;35.08;3017;1.44;2.92;6111.11;;
GROGOL;GROGOL;5317;50.84;36.7;1926;0.85;2.76;6255.29;;
GROGOL;KADOKAN;5855;49.29;34.11;1945;1.15;3.01;5091.3;;
GROGOL;KWARASAN;7261;49.46;35.5;2554;0.49;2.84;14818.37;;
GROGOL;SANGGRAHAN;12806;49.73;33.23;4047;1.64;3.16;7808.54;;
GROGOL;MANANG;6837;50.26;33.93;2247;1.42;3.04;4814.79;;
GROGOL;BANARAN;8089;50.03;35.9;2882;1.37;2.81;5904.38;;
GROGOL;CEMANI;20494;50.55;36.14;7172;4.05;2.86;5060.25;;
BAKI;NGROMBO;3278;50.67;34.08;1143;1.26;2.87;2601.59;;
BAKI;MANCASAN;6693;49.75;34.28;2275;2.75;2.94;2433.82;;
BAKI;GEDONGAN;3625;49.54;34.84;1242;1.28;2.92;2832.03;;
BAKI;JETIS;5384;49.85;34.57;1897;1.41;2.84;3818.44;;
BAKI;BENTAKAN;2942;49.83;35.35;1004;1.24;2.93;2372.58;;
BAKI;KUDU;4455;48.96;35.49;1575;2.7;2.83;1650.0;;
BAKI;KADILANGU;3233;50.42;35.27;1107;1.11;2.92;2912.61;;
BAKI;BAKIPANDEYAN;4025;49.04;34.91;1383;1.12;2.91;3593.75;;
BAKI;MENURAN;5992;49.72;34.93;2123;2.33;2.82;2571.67;;
BAKI;DUWET;3951;49.51;34.39;1361;1.23;2.9;3212.2;;
BAKI;SIWAL;5036;49.46;33.75;1704;1.76;2.96;2861.36;;
BAKI;WARU;7138;49.93;33.54;2378;1.72;3.0;4150.0;;
BAKI;GENTAN;9440;50.92;35.82;3269;2.16;2.89;4370.37;;
BAKI;PURBAYAN;8005;49.63;34.59;2686;1.14;2.98;7021.93;;
GATAK;SANGGUNG;2479;50.3;35.8;891;0.95;2.78;2609.47;;
GATAK;KAGOKAN;1964;50.2;36.38;724;0.95;2.71;2067.37;;
GATAK;BLIMBING;5885;50.43;35.51;2089;2.27;2.82;2592.51;;
GATAK;KRAJAN;5222;49.83;35.16;1821;1.9;2.87;2748.42;;
GATAK;GENENG;3919;49.48;34.57;1364;1.42;2.87;2759.86;;
GATAK;JATI;2710;48.34;34.76;960;1.15;2.82;2356.52;;
GATAK;TROSEMI;3205;49.77;34.48;1104;1.24;2.9;2584.68;;
GATAK;LUWANG;3946;49.97;34.67;1394;1.27;2.83;3107.09;;
GATAK;KLASEMAN;2063;49.93;36.03;716;0.91;2.88;2267.03;;
GATAK;TEMPEL;1895;50.87;35.52;687;1.02;2.76;1857.84;;
GATAK;SRATEN;3499;49.53;34.77;1189;0.95;2.94;3683.16;;
GATAK;WIRONANGGAN;4710;50.02;35.04;1599;1.26;2.95;3738.1;;
GATAK;TRANGSAN;8115;50.13;34.74;2792;2.47;2.91;3285.43;;
GATAK;MAYANG;5324;50.85;35.29;1867;1.61;2.85;3306.83;;
KARTASURA;KARTASURA;14980;50.91;35.71;5341;1.33;2.8;11263.16;;
KARTASURA;NGADIREJO;10805;50.75;35.08;3730;1.2;2.9;9004.17;;
KARTASURA;PUCANGAN;14762;50.33;33.21;4886;2.87;3.02;5143.55;;
KARTASURA;NGEMPLAK;5144;49.88;33.51;1732;1.7;2.97;3025.88;;
KARTASURA;GUMPANG;11737;50.16;33.65;3916;1.91;3.0;6145.03;;
KARTASURA;MAKAMHAJI;17510;50.33;36.02;6073;2.09;2.88;8377.99;;
KARTASURA;PABELAN;7907;51.41;35.0;2675;2.78;2.96;2844.24;;
KARTASURA;GONILAN;6856;49.8;34.7;2286;1.91;3.0;3589.53;;
KARTASURA;SINGOPURAN;7455;51.8;35.45;2642;1.32;2.82;5647.73;;
KARTASURA;NGABEYAN;5896;51.41;35.35;2088;1.18;2.82;4996.61;;
KARTASURA;WIROGUNAN;5117;51.24;35.41;1822;1.32;2.81;3876.52;;
