Kecamatan,Kelurahan,Peserta Keluarga Berencana,Bukan Peserta Keluarga Berencana
Nguter,Lawu,349,71
Nguter,Baran,196,73
Nguter,Nguter,727,196
Nguter,Gupit,456,97
Nguter,Pengkol,282,218
Nguter,Jangglengan,233,83
Nguter,Tanjungrejo,331,81
Nguter,Serut,328,111
Nguter,Juron,269,82
Nguter,Celep,389,82
Nguter,Plesan,248,149
Nguter,Kedungwinong,302,171
Nguter,Daleman,250,46
Nguter,Kepuh,554,219
Nguter,Pondok,520,150
Nguter,Tanjung,399,87
Bendosari,Jagan,236,73
Bendosari,Manisharjo,430,79
Bendosari,Cabeyan,267,78
Bendosari,Puhgogor,231,111
Bendosari,Paluhombo,232,56
Bendosari,Bendosari,178,100
Bendosari,Mojorejo,201,109
Bendosari,Mertan,694,297
Bendosari,Mulur,582,468
Bendosari,Toriyo,638,319
Bendosari,Jombor,876,434
Bendosari,Sidorejo,404,353
Bendosari,Sugihan,374,150
Bendosari,Gentan,625,473
Polokarto,Pranan,531,133
Polokarto,Bugel,442,280
Polokarto,Karangwuni,333,235
Polokarto,Ngombakan,533,220
Polokarto,Bakalan,658,354
Polokarto,Godog,562,275
Polokarto,Kemasan,552,240
Polokarto,Kenokorejo,473,149
Polokarto,Tepisari,420,121
Polokarto,Bulu,366,192
Polokarto,Rejosari,516,176
Polokarto,Polokarto,1049,396
Polokarto,Mranggen,1269,632
Polokarto,Wonorejo,560,295
Polokarto,Jatisobo,634,200
Polokarto,Kayuapak,497,211
Polokarto,Genengsari,702,190
Mojolaban,Tegalmade,303,132
Mojolaban,Laban,582,412
Mojolaban,Wirun,896,443
Mojolaban,Bekonang,718,367
Mojolaban,Cangkol,688,332
Mojolaban,Klumprit,794,327
Mojolaban,Kragilan,379,233
Mojolaban,Sapen,619,365
Mojolaban,Triyagan,741,276
Mojolaban,Joho,1140,398
Mojolaban,Demakan,856,252
Mojolaban,Dukuh,554,182
Mojolaban,Plumbon,974,270
Mojolaban,Gadingan,1076,309
Mojolaban,Palur,1570,1085
Grogol,Pondok,933,421
Grogol,Parangjoro,690,301
Grogol,Pandeyan,750,261
Grogol,Telukan,1185,713
Grogol,Kadokan,813,220
Grogol,Grogol,498,221
Grogol,Madegondo,832,361
Grogol,Langenharjo,798,281
Grogol,Gedangan,794,328
Grogol,Kwarasan,886,209
Grogol,Sanggrahan,1675,548
Grogol,Manang,896,327
Grogol,Banaran,666,332
Grogol,Cemani,1791,783
Baki,Ngrombo,495,164
Baki,Mancasan,734,268
Baki,Gedongan,535,85
Baki,Jetis,447,311
Baki,Bentakan,392,123
Baki,Kudu,430,234
Baki,Kadilangu,201,164
Baki,Bakipandeyan,421,140
Baki,Menuran,770,308
Baki,Duwet,390,145
Baki,Siwal,484,296
Baki,Waru,639,270
Baki,Gentan,963,632
Baki,Purbayan,810,483
Gatak,Sanggung,260,140
Gatak,Kagokan,223,99
Gatak,Blimbing,623,250
Gatak,Krajan,552,313
Gatak,Geneng,406,183
Gatak,Jati,294,137
Gatak,Trosemi,301,218
Gatak,Luwang,437,243
Gatak,Klaseman,249,82
Gatak,Tempel,221,96
Gatak,Sraten,370,131
Gatak,Wironanggan,518,232
Gatak,Trangsan,893,423
Gatak,Mayang,520,247
Kartasura,Ngemplak,579,262
Kartasura,Gumpang,1392,965
Kartasura,Makamhaji,1414,1174
Kartasura,Pabelan,649,582
Kartasura,Ngadirejo,811,803
Kartasura,Kartasura,1379,763
Kartasura,Pucangan,1272,987
Kartasura,Kertonatan,363,235
Kartasura,Wirogunan,476,343
Kartasura,Ngabeyan,575,373
Kartasura,Singopuran,644,568
Kartasura,Gonilan,619,426
Weru,Grogol,357,104
Weru,Karangtengah,357,81
Weru,Karangwuni,372,121
Weru,Krajan,505,191
Weru,Jatingarang,672,137
Weru,Karanganyar,544,146
Weru,Alasombo,454,113
Weru,Karangmojo,330,281
Weru,Weru,394,119
Weru,Karakan,349,128
Weru,Tegalsari,420,165
Weru,Tawang,363,162
Weru,Ngreco,619,227
Bulu,Sanggang,295,105
Bulu,Kamal,236,59
Bulu,Gentan,277,79
Bulu,Kedungsono,207,76
Bulu,Tiyaran,229,183
Bulu,Bulu,233,134
Bulu,Kunden,206,149
Bulu,Puron,226,58
Bulu,Malangan,335,207
Bulu,Lengking,265,111
Bulu,Ngasinan,292,182
Bulu,Karangasem,241,78
Tawangsari,Watubonang,580,272
Tawangsari,Pundungrejo,232,222
Tawangsari,Lorog,497,330
Tawangsari,Grajegan,390,160
Tawangsari,Kedungjambal,371,210
Tawangsari,Ponowaren,426,266
Tawangsari,Kateguhan,292,344
Tawangsari,Dalangan,380,199
Tawangsari,Pojok,432,264
Tawangsari,Tangkisan,325,297
Tawangsari,Majasto,407,140
Tawangsari,Tambakboyo,379,166
Sukoharjo,Kenep,608,147
Sukoharjo,Banmati,617,263
Sukoharjo,Mandan,607,149
Sukoharjo,Begajah,443,249
Sukoharjo,Gayam,966,208
Sukoharjo,Joho,764,251
Sukoharjo,Jetis,915,292
Sukoharjo,Combongan,446,296
Sukoharjo,Kriwen,709,155
Sukoharjo,Bulakan,1065,225
Sukoharjo,Dukuh,931,219
Sukoharjo,Sukoharjo,1124,385
Sukoharjo,Bulakrejo,721,544
Sukoharjo,Sonorejo,795,192
