Kecamatan,Kelurahan,ID_Kelurahan,Link_Sumber,Pendapatan_Asli_Desa_Rp
Kec. Baki,Bakipandeyan,031110AH,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031110AH,232850000
Kec. Baki,Bentakan,031110AE,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031110AE,244000000
Kec. Baki,Duwet,031110AJ,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031110AJ,206150000
Kec. Baki,Gedongan,031110AC,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031110AC,45000000
Kec. Baki,Gentan,031110AM,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031110AM,432500000
Kec. Baki,Jetis,031110AD,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031110AD,66135000
Kec. Baki,Kadilangu,031110AG,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031110AG,257200000
Kec. Baki,Kudu,031110AF,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031110AF,317950000
Kec. Baki,Mancasan,031110AB,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031110AB,114400000
Kec. Baki,Menuran,031110AI,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031110AI,310000000
Kec. Baki,Ngrombo,031110AA,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031110AA,163700000
Kec. Baki,Purbayan,031110AN,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031110AN,178670000
Kec. Baki,Siwal,031110AK,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031110AK,127600000
Kec. Baki,Waru,031110AL,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031110AL,121030000
Kec. Bendosari,Bendosari,031106AF,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031106AF,92300000
Kec. Bendosari,Cabeyan,031106AC,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031106AC,91300000
Kec. Bendosari,Gentan,031106AN,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031106AN,433450000
Kec. Bendosari,Jagan,031106AA,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031106AA,71000000
Kec. Bendosari,Jombor,031106AK,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031106AK,0
Kec. Bendosari,Manisharjo,031106AB,https://pidekso.sukoharjokab.go.id/front/grafik/data-keuangan/031106AB,48000000
