Kecamatan,Kelurahan,Tanaman Pangan,Rumah Tangga Usaha Pertanian,Usaha Pertanian Perorangan
Grogol,Pondok,127,221,221
Grogol,Parangjoro,174,275,278
Grogol,Pandeyan,255,312,313
Grogol,Telukan,71,150,150
Grogol,Kadokan,60,222,227
Grogol,Grogol,0,44,44
Grogol,Madegondo,13,83,83
Grogol,Langenharjo,42,94,94
Grogol,Gedangan,56,88,90
Grogol,Kwarasan,37,47,48
Grogol,Sanggrahan,42,86,86
Grogol,Manang,60,136,139
Grogol,Banaran,13,28,28
Grogol,Cemani,3,24,24
Baki,Ngrombo,92,158,159
Baki,Mancasan,157,249,252
Baki,Gedongan,69,99,99
Baki,Jetis,73,125,125
Baki,Bentakan,54,73,78
Baki,Kudu,118,141,158
Baki,Kadilangu,58,69,70
Baki,Bakipandeyan,67,91,91
Baki,Menuran,153,302,305
Baki,Duwet,76,148,150
Baki,Siwal,63,149,150
Baki,Waru,80,138,138
Baki,Gentan,25,47,47
Baki,Purbayan,15,121,123
Kartasura,Ngemplak,68,152,154
Kartasura,Gumpang,63,121,121
Kartasura,Makamhaji,8,120,120
Kartasura,Pabelan,40,78,78
Kartasura,Ngadirejo,10,66,66
Kartasura,Kartasura,2,75,75
Kartasura,Pucangan,68,145,146
Kartasura,Kertonatan,39,81,82
Kartasura,Wirogunan,13,58,58
Kartasura,Ngabeyan,28,146,155
Kartasura,Singopuran,23,45,45
Kartasura,Gonilan,5,36,36
Weru,Grogol,413,574,581
Weru,Karangtengah,420,593,593
Weru,Karangwuni,537,737,741
Weru,Krajan,698,830,842
Weru,Jatingarang,440,862,881
Weru,Karanganyar,531,1004,1014
Weru,Alasombo,355,800,809
Weru,Karangmojo,300,696,698
Weru,Weru,497,623,628
Weru,Karakan,591,697,702
Weru,Tegalsari,712,849,854
Weru,Tawang,525,660,669
Weru,Ngreco,518,921,928
Bulu,Sanggang,204,487,490
Bulu,Kamal,215,479,482
Bulu,Gentan,190,491,499
Bulu,Kedungsono,224,339,348
Bulu,Tiyaran,197,398,400
Bulu,Bulu,227,576,595
Bulu,Kunden,248,388,398
Bulu,Puron,241,535,548
Bulu,Malangan,308,585,589
Bulu,Lengking,138,438,443
Bulu,Ngasinan,337,712,722
Bulu,Karangasem,227,310,318
Tawangsari,Watubonang,294,467,467
Tawangsari,Pundungrejo,169,487,488
Tawangsari,Lorog,340,499,503
Nguter,Lawu,216,285,288
Nguter,Baran,180,229,235
Nguter,Nguter,155,215,217
Nguter,Gupit,226,294,300
Nguter,Pengkol,250,285,295
Nguter,Jangglengan,193,227,228
Nguter,Tanjungrejo,308,367,370
Nguter,Serut,359,408,423
Nguter,Juron,380,393,395
Nguter,Celep,267,305,305
Nguter,Plesan,179,214,216
Nguter,Kedungwinong,244,286,289
Nguter,Daleman,157,170,171
Nguter,Kepuh,189,207,211
Nguter,Pondok,181,264,270
Nguter,Tanjung,147,214,217
Bendosari,Jagan,170,187,190
Bendosari,Manisharjo,306,360,378
Bendosari,Cabeyan,275,304,310
Bendosari,Puhbogor,253,280,281
Bendosari,Paluhombo,263,275,278
Bendosari,Bendosari,242,272,274
Bendosari,Mojorejo,229,254,264
Bendosari,Mertan,582,720,722
Bendosari,Mulur,302,418,420
Bendosari,Toriyo,248,330,333
Bendosari,Jombor,181,225,229
Bendosari,Sidorejo,305,346,361
