cooperative_id,name,desa,kecamatan,latitude,longitude,potensi,usaha,jenis_koperasi,ruas 100,ruas 200,ruas 300,ruas 400,ruas 500,ruas 600,ruas 700,ruas 800,ruas 900,ruas 1000
32337,KOPERASI KELURAHAN MERAH PUTIH MANDAN KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,MANDAN,SUKOHARJO,-7.70347461,110.836603,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH MANDAN KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32376,KOPERASI KELURAHAN MERAH PUTIH BEGAJAH KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,BEGAJAH,SUKOHARJO,-7.7024647,110.8555044,Pertanian Padi,Kantor Koperasi Kelurahan Merah Putih Begajah,"Pengadaan Sembako, Kantor Koperasi",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52828,KOPERASI KELURAHAN MERAH PUTIH KRIWEN KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,KRIWEN,SUKOHARJO,-7.68719846,110.8002488,-,Kantor Koperasi,Kantor Koperasi,98.84,511.71,1312.58,2946.43,4737.01,7487.89,10881.89,15982.34,23917.32,34493.18
52917,KOPERASI KELURAHAN MERAH PUTIH BULAKREJO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,BULAKREJO,SUKOHARJO,-7.64893481,110.824575,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH BULAKREJO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi,195.58,710.05,1849.38,3195.11,5564.01,10758.66,16891.18,25706.63,34305.1,42049.43
52932,KOPERASI KELURAHAN MERAH PUTIH KENEP KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,KENEP,SUKOHARJO,-7.69943552,110.8094875,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH KENEP KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi,154.63,1815.64,4103.48,7533.91,10665.18,14937.23,19590.89,25877.84,32095.03,40019.99
52934,KOPERASI KELURAHAN MERAH PUTIH SONOREJO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,SONOREJO,SUKOHARJO,-7.65312906,110.79782977,"Pertanian Sawah, Sentra Perajin Wayang Kulit, Ternak Kambing Domba, Agen Laku Pandai Bni Agen 46","GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH SONOREJO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO, Agen Laku Pandai KKMP Sonorejo","Pengadaan Sembako, Kantor Koperasi, Usaha Simpan Pinjam",458.35,939.79,2221.44,4725.35,7310.19,10649.5,15652.59,22108.72,27708.35,36023.92
55333,KOPERASI KELURAHAN MERAH PUTIH GAYAM KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,GAYAM,SUKOHARJO,-7.6898194,110.849526,Lapangan Olah Raga,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH GAYAM KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi,939.23,3335.8,7425.4,12585.81,17985.98,23422.1,29898.92,37539.62,47083.08,56633.85
55407,KOPERASI KELURAHAN MERAH PUTIH JOHO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,JOHO,SUKOHARJO,-7.69128052,110.8391922,"UMKM, Padi Sawah",Kantor Koperasi,"Pengadaan Sembako, Kantor Koperasi",742.79,2917.78,6037.47,10043.65,14600.06,20398.67,28565.07,37585.11,48884.09,59772.89
56019,KOPERASI KELURAHAN MERAH PUTIH BANMATI KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,BANMATI,SUKOHARJO,-7.70427276,110.8190704,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH BANMATI KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi,413.92,1656.14,3495.5,6500.84,9026.49,11793.77,18264.88,25025.95,32914.3,42006.73
57472,KOPERASI KELURAHAN MERAH PUTIH DUKUH KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,DUKUH,SUKOHARJO,-7.66903113,110.8029295,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH DUKUH KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi,10.77,177.44,405.48,1531.91,3800.01,6337.43,10467.56,13447.27,17321.7,21834.82
