cooperative_id,name,desa,kecamatan,latitude,longitude,potensi,usaha,jenis_koperasi,rata_jarak_antar_kopdes_m,kepadatan_jaringan_jalan,jarak_ke_jln_utama_m
32337,KOPERASI KELURAHAN MERAH PUTIH MANDAN KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,MANDAN,SUKOHARJO,-7.70347461,110.836603,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH MANDAN KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi,10621.789417860226,0.0,1129.669226167539
32376,KOPERASI KELURAHAN MERAH PUTIH BEGAJAH KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,BEGAJAH,SUKOHARJO,-7.7024647,110.8555044,Pertanian Padi,Kantor Koperasi Kelurahan Merah Putih Begajah,"Pengadaan Sembako, Kantor Koperasi",10972.703167934573,0.0,151.90727701223742
52828,KOPERASI KELURAHAN MERAH PUTIH KRIWEN KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,KRIWEN,SUKOHARJO,-7.68719846,110.8002488,-,Kantor Koperasi,Kantor Koperasi,10451.296731201715,0.010979520199917006,
52917,KOPERASI KELURAHAN MERAH PUTIH BULAKREJO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,BULAKREJO,SUKOHARJO,-7.64893481,110.824575,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH BULAKREJO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi,9922.040975560762,0.013384749277393275,714.2632463387259
52932,KOPERASI KELURAHAN MERAH PUTIH KENEP KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,KENEP,SUKOHARJO,-7.69943552,110.8094875,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH KENEP KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi,10567.7914201375,0.01273875846197644,1989.7939980683543
52934,KOPERASI KELURAHAN MERAH PUTIH SONOREJO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,SONOREJO,SUKOHARJO,-7.65312906,110.79782977,"Pertanian Sawah, Sentra Perajin Wayang Kulit, Ternak Kambing Domba, Agen Laku Pandai Bni Agen 46","GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH SONOREJO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO, Agen Laku Pandai KKMP Sonorejo","Pengadaan Sembako, Kantor Koperasi, Usaha Simpan Pinjam",10208.586487115568,0.011466769875093982,
55333,KOPERASI KELURAHAN MERAH PUTIH GAYAM KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,GAYAM,SUKOHARJO,-7.6898194,110.849526,Lapangan Olah Raga,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH GAYAM KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi,10472.659871448312,0.018027114347649874,55.79157491524835
55407,KOPERASI KELURAHAN MERAH PUTIH JOHO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,JOHO,SUKOHARJO,-7.69128052,110.8391922,"UMKM, Padi Sawah",Kantor Koperasi,"Pengadaan Sembako, Kantor Koperasi",10308.525010656076,0.01902630181277624,252.42047919418212
56019,KOPERASI KELURAHAN MERAH PUTIH BANMATI KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,BANMATI,SUKOHARJO,-7.70427276,110.8190704,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH BANMATI KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi,10612.423076072148,0.013371157445253226,1864.000494300221
57472,KOPERASI KELURAHAN MERAH PUTIH DUKUH KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,DUKUH,SUKOHARJO,-7.66903113,110.8029295,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH DUKUH KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi,10128.394936418284,0.006950239069043557,
