cooperative_id,name,desa,kecamatan,latitude,longitude,potensi,usaha,jenis_koperasi
32337,KOPERASI KELURAHAN MERAH PUTIH MANDAN KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,MANDAN,SUKOHARJO,-7.70347461,110.83660300,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH MANDAN KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi
32376,KOPERASI KELURAHAN MERAH PUTIH BEGAJAH KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,BEGAJAH,SUKOHARJO,-7.70246470,110.85550440,Pertanian Padi,Kantor Koperasi Kelurahan Merah Putih Begajah,"Pengadaan Sembako, Kantor Koperasi"
52828,KOPERASI KELURAHAN MERAH PUTIH KRIWEN KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,KRIWEN,SUKOHARJO,-7.68719846,110.80024880,-,Kantor Koperasi,Kantor Koperasi
52917,KOPERASI KELURAHAN MERAH PUTIH BULAKREJO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,BULAKREJO,SUKOHARJO,-7.64893481,110.82457500,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH BULAKREJO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi
52932,KOPERASI KELURAHAN MERAH PUTIH KENEP KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,KENEP,SUKOHARJO,-7.69943552,110.80948750,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH KENEP KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi
52934,KOPERASI KELURAHAN MERAH PUTIH SONOREJO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,SONOREJO,SUKOHARJO,-7.65312906,110.79782977,"Pertanian Sawah, Sentra Perajin Wayang Kulit, Ternak Kambing Domba, Agen Laku Pandai Bni Agen 46","GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH SONOREJO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO, Agen Laku Pandai KKMP Sonorejo","Pengadaan Sembako, Kantor Koperasi, Usaha Simpan Pinjam"
55333,KOPERASI KELURAHAN MERAH PUTIH GAYAM KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,GAYAM,SUKOHARJO,-7.68981940,110.84952600,Lapangan Olah Raga,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH GAYAM KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi
55407,KOPERASI KELURAHAN MERAH PUTIH JOHO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,JOHO,SUKOHARJO,-7.69128052,110.83919220,"UMKM, Padi Sawah",Kantor Koperasi,"Pengadaan Sembako, Kantor Koperasi"
56019,KOPERASI KELURAHAN MERAH PUTIH BANMATI KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,BANMATI,SUKOHARJO,-7.70427276,110.81907040,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH BANMATI KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi
57472,KOPERASI KELURAHAN MERAH PUTIH DUKUH KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,DUKUH,SUKOHARJO,-7.66903113,110.80292950,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH DUKUH KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi
57512,KOPERASI KELURAHAN MERAH PUTIH JETIS KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,JETIS,SUKOHARJO,-7.68712040,110.82490500,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH JETIS KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi
