cooperative_id,rata_jarak_antar_kopdes_m,kepadatan_jaringan_jalan,Kepadatan_Komersial_UMKM,Jarak_Min_Komersial_m,Kepadatan_Logistik_Eksternal,Jarak_Min_Logistik_m,Kepadatan_Bank_Besar,Jarak_Min_Bank_m,Kepadatan_Keuangan_Mikro,Jarak_Min_Keuangan_Mikro_m,populasi,persenatase perempuan,rata-rata usia,jumlah_kk,luas_km2,rata-rata anggota keluarga,kepadatan penduduk (jiwa/km2),ruas 100,ruas 200,ruas 300,ruas 400,ruas 500,ruas 600,ruas 700,ruas 800,ruas 900,ruas 1000,Peserta Keluarga Berencana,Bukan Peserta Keluarga Berencana,Tanaman Pangan,Rumah Tangga Usaha Pertanian,Usaha Pertanian Perorangan,Pendapatan_Asli_Desa_Rp
32337,10621.789417860226,0.0,429,103.85,0,1500.0,12,241.51,0,1500.0,5364.0,49.79,36.05,1852.0,3.16,2.9,1697.47,215.57,728.27,2590.44,5418.98,7864.64,12067.96,17371.53,22106.26,26105.58,31699.13,607.0,149.0,315.0,371.0,377.0,568580000.0
32376,10972.703167934573,0.0,588,71.12,0,1500.0,16,231.45,1,621.85,5446.0,49.32,36.25,1884.0,3.15,2.89,1728.89,121.39,1236.58,3180.16,5947.17,8626.44,12083.8,17190.11,22001.74,28754.81,36299.27,443.0,249.0,252.0,313.0,316.0,568580000.0
52828,10451.296731201715,0.010979520199917,431,320.6,0,1500.0,4,719.35,0,1500.0,6053.0,50.37,35.11,2009.0,3.12,3.01,1940.06,98.84,511.71,1312.58,2946.43,4737.01,7487.89,10881.89,15982.34,23917.32,34493.18,709.0,155.0,343.0,411.0,413.0,568580000.0
52917,9922.040975560762,0.0133847492773932,505,181.2,0,1500.0,12,636.41,0,1500.0,7210.0,49.86,34.36,2395.0,4.1,3.01,1758.54,195.58,710.05,1849.38,3195.11,5564.01,10758.66,16891.18,25706.63,34305.1,42049.43,721.0,544.0,501.0,529.0,540.0,568580000.0
52932,10567.7914201375,0.0127387584619764,410,109.99,0,1500.0,7,228.97,0,1500.0,5265.0,49.29,35.32,1782.0,2.81,2.95,1873.67,154.63,1815.64,4103.48,7533.91,10665.18,14937.23,19590.89,25877.84,32095.03,40019.99,608.0,147.0,173.0,327.0,335.0,568580000.0
52934,10208.586487115568,0.0114667698750939,496,1.8,0,1500.0,7,8.66,0,1500.0,5793.0,50.49,34.67,1939.0,4.42,2.99,1310.63,458.35,939.79,2221.44,4725.35,7310.19,10649.5,15652.59,22108.72,27708.35,36023.92,795.0,192.0,335.0,379.0,381.0,568580000.0
55333,10472.659871448312,0.0180271143476498,707,47.35,0,1500.0,23,89.23,1,423.47,10388.0,50.94,35.56,3530.0,2.02,2.94,5142.57,939.23,3335.8,7425.4,12585.81,17985.98,23422.1,29898.92,37539.62,47083.08,56633.85,966.0,208.0,91.0,144.0,144.0,568580000.0
55407,10308.525010656076,0.0190263018127762,468,58.39,0,1500.0,7,87.65,0,1500.0,8078.0,50.09,35.02,2695.0,2.15,3.0,3757.21,742.79,2917.78,6037.47,10043.65,14600.06,20398.67,28565.07,37585.11,48884.09,59772.89,764.0,251.0,126.0,156.0,156.0,568580000.0
56019,10612.423076072148,0.0133711574452532,414,0.86,0,1500.0,6,290.42,0,1500.0,5530.0,49.28,34.53,1842.0,2.37,3.0,2333.33,413.92,1656.14,3495.5,6500.84,9026.49,11793.77,18264.88,25025.95,32914.3,42006.73,617.0,263.0,210.0,415.0,422.0,568580000.0
57472,10128.394936418284,0.0069502390690435,264,110.01,0,1500.0,2,817.33,0,1500.0,7020.0,50.01,34.3,2298.0,3.92,3.05,1790.82,10.77,177.44,405.48,1531.91,3800.01,6337.43,10467.56,13447.27,17321.7,21834.82,931.0,219.0,456.0,577.0,579.0,568580000.0
